account_id,exception_type,actual_label,actual_class,predicted_label,predicted_class,ensemble_probability,graphsage_probability,lightgbm_probability,margin_of_error,total_volume_inr,transaction_count,avg_transaction_amount_inr,max_transaction_amount_inr,in_degree,out_degree,clustering_coefficient,pagerank,community_id
ACCT_098275,False Negative (FN),1,Mule Account,0,Legitimate,0.0,0.0792,0.0,1.0,269511264.17,9137,29496.69,0.0,0,12,0.0,4e-06,306
ACCT_077669,False Negative (FN),1,Mule Account,0,Legitimate,0.0,0.1269,0.0,1.0,50867499.94,2283,22280.99,0.0,0,14,0.0,4e-06,196
ACCT_004839,False Negative (FN),1,Mule Account,0,Legitimate,0.0001,0.1422,0.0001,0.9999,69737579.59,1989,35061.63,0.0,0,16,0.0,4e-06,89
ACCT_085666,False Negative (FN),1,Mule Account,0,Legitimate,0.0001,0.0977,0.0001,0.9999,99817418.9,3811,26191.92,0.0,0,4,0.0,4e-06,158
ACCT_033141,False Negative (FN),1,Mule Account,0,Legitimate,0.0001,0.1653,0.0001,0.9999,51913734.35,1665,31179.42,0.0,0,15,0.0,4e-06,0
ACCT_076206,False Positive (FP),0,Legitimate,1,Mule Account,0.9999,0.6636,0.9999,0.9999,35183990.13,1519,23162.6,0.0,0,39,0.0,4e-06,418
ACCT_031165,False Negative (FN),1,Mule Account,0,Legitimate,0.0001,0.1003,0.0001,0.9999,78403755.58,2179,35981.53,0.0,0,5,0.0,4e-06,307
ACCT_043266,False Positive (FP),0,Legitimate,1,Mule Account,0.9999,0.6595,0.9999,0.9999,27547086.48,1011,27247.37,0.0,0,51,0.0,4e-06,277
ACCT_048170,False Negative (FN),1,Mule Account,0,Legitimate,0.0002,0.1111,0.0002,0.9998,30514199.75,1344,22704.02,0.0,0,12,0.0,4e-06,123
ACCT_007525,False Negative (FN),1,Mule Account,0,Legitimate,0.0002,0.1268,0.0002,0.9998,74415278.3,3193,23305.76,0.0,0,19,0.0,4e-06,263
ACCT_082559,False Negative (FN),1,Mule Account,0,Legitimate,0.0002,0.1885,0.0002,0.9998,11453027.32,707,16199.47,0.0,0,30,0.0,4e-06,117
ACCT_005083,False Negative (FN),1,Mule Account,0,Legitimate,0.0002,0.2168,0.0002,0.9998,6616860.24,322,20549.26,0.0,0,17,0.0,4e-06,1
ACCT_068659,False Positive (FP),0,Legitimate,1,Mule Account,0.9997,0.7188,0.9997,0.9997,30447688.13,766,39748.94,0.0,0,77,0.0,4e-06,259
ACCT_087478,False Negative (FN),1,Mule Account,0,Legitimate,0.0003,0.1119,0.0003,0.9997,30035068.83,1422,21121.71,0.0,0,6,0.0,4e-06,296
ACCT_047855,False Negative (FN),1,Mule Account,0,Legitimate,0.0003,0.1051,0.0003,0.9997,98657619.7,5036,19590.47,0.0,0,4,0.0,4e-06,366
ACCT_090865,False Negative (FN),1,Mule Account,0,Legitimate,0.0003,0.1188,0.0003,0.9997,49446713.44,1508,32789.6,0.0,0,10,0.0,4e-06,310
ACCT_076483,False Negative (FN),1,Mule Account,0,Legitimate,0.0003,0.1414,0.0003,0.9997,54392537.74,2185,24893.61,0.0,0,23,0.0,4e-06,342
