threshold,true_positives_tp,false_positives_fp,true_negatives_tn,false_negatives_fn,total_flagged_alerts,alert_rate_pct,precision_ppv,recall_sensitivity_tpr,specificity_tnr,false_positive_rate_fpr,false_discovery_rate_fdr,f1_score,f2_score_aml_weighted,accuracy
0.01,178,385,8946,66,563,5.88,0.3162,0.7295,0.9587,0.0413,0.6838,0.4411,0.5783,0.9529
0.02,173,194,9137,71,367,3.833,0.4714,0.709,0.9792,0.0208,0.5286,0.5663,0.6441,0.9723
0.03,170,125,9206,74,295,3.081,0.5763,0.6967,0.9866,0.0134,0.4237,0.6308,0.6688,0.9792
0.04,168,97,9234,76,265,2.768,0.634,0.6885,0.9896,0.0104,0.366,0.6601,0.6769,0.9819
0.05,167,82,9249,77,249,2.601,0.6707,0.6844,0.9912,0.0088,0.3293,0.6775,0.6816,0.9834
0.06,166,73,9258,78,239,2.496,0.6946,0.6803,0.9922,0.0078,0.3054,0.6874,0.6831,0.9842
0.07,163,66,9265,81,229,2.392,0.7118,0.668,0.9929,0.0071,0.2882,0.6892,0.6763,0.9846
0.08,163,59,9272,81,222,2.319,0.7342,0.668,0.9937,0.0063,0.2658,0.6996,0.6803,0.9854
0.09,163,56,9275,81,219,2.287,0.7443,0.668,0.994,0.006,0.2557,0.7041,0.682,0.9857
0.1,163,52,9279,81,215,2.245,0.7581,0.668,0.9944,0.0056,0.2419,0.7102,0.6843,0.9861
0.1,163,52,9279,81,215,2.245,0.7581,0.668,0.9944,0.0056,0.2419,0.7102,0.6843,0.9861
0.11,163,48,9283,81,211,2.204,0.7725,0.668,0.9949,0.0051,0.2275,0.7165,0.6866,0.9865
0.12,162,47,9284,82,209,2.183,0.7751,0.6639,0.995,0.005,0.2249,0.7152,0.6835,0.9865
0.13,162,43,9288,82,205,2.141,0.7902,0.6639,0.9954,0.0046,0.2098,0.7216,0.6859,0.9869
0.14,162,40,9291,82,202,2.11,0.802,0.6639,0.9957,0.0043,0.198,0.7265,0.6876,0.9873
0.15,162,39,9292,82,201,2.099,0.806,0.6639,0.9958,0.0042,0.194,0.7281,0.6882,0.9874
0.15,162,39,9292,82,201,2.099,0.806,0.6639,0.9958,0.0042,0.194,0.7281,0.6882,0.9874
0.16,161,39,9292,83,200,2.089,0.805,0.6598,0.9958,0.0042,0.195,0.7252,0.6845,0.9873
0.17,161,38,9293,83,199,2.078,0.809,0.6598,0.9959,0.0041,0.191,0.7269,0.6851,0.9874
0.18,161,37,9294,83,198,2.068,0.8131,0.6598,0.996,0.004,0.1869,0.7285,0.6857,0.9875
0.1877,160,37,9294,84,197,2.057,0.8122,0.6557,0.996,0.004,0.1878,0.7256,0.682,0.9874
0.19,160,37,9294,84,197,2.057,0.8122,0.6557,0.996,0.004,0.1878,0.7256,0.682,0.9874
0.2,160,37,9294,84,197,2.057,0.8122,0.6557,0.996,0.004,0.1878,0.7256,0.682,0.9874
0.21,160,36,9295,84,196,2.047,0.8163,0.6557,0.9961,0.0039,0.1837,0.7273,0.6826,0.9875
0.22,160,36,9295,84,196,2.047,0.8163,0.6557,0.9961,0.0039,0.1837,0.7273,0.6826,0.9875
0.23,160,36,9295,84,196,2.047,0.8163,0.6557,0.9961,0.0039,0.1837,0.7273,0.6826,0.9875
